주유소명,주소
구도일주유소 특종,서울특별시 종로구 평창문화로 90(평창동)     
(주)홈런주유소,서울특별시 서초구 양재대로2길 100-30 (우면동)
서초주유소,서울특별시 서초구 반포대로 64 (서초동)
한독주유소,서울특별시 서초구 방배로 214 (방배동)
반포그린주유소,서울특별시 서초구 서초중앙로 239 (반포동)
지에스칼텍스(주)헌릉로주유소,서울특별시 서초구 헌릉로 177 (내곡동)
(주)대농석유 남태령주유소,서울특별시 서초구 과천대로 838 (방배동)
지에스칼텍스(주)내곡주유소,서울특별시 서초구 헌릉로 210 (내곡동)
대성석유(주)연일주유소,서울특별시 서초구 남부순환로 2451 (서초동)
현대오일뱅크(주)직영사평로주유소,서울특별시 서초구 사평대로 350 (서초동)
에쓰-오일(주)오토테크주유소,서울특별시 서초구 효령로 356 (서초동)
지에스칼텍스(주) 선천주유소,서울특별시 서초구 동작대로 206 (방배동)
크로바주유소,서울특별시 서초구 효령로 327 (서초동)
태건석유(주)양재최고주유소,서울특별시 서초구 매헌로 72 (양재동)
방배동주유소,서울특별시 서초구 효령로 29 (방배동)
현대오일뱅크(주) 직영방배현대주유소,서울특별시 서초구 동작대로 182 (방배동)
서초꽃마을주유소,서울특별시 서초구 반포대로 69 (서초동)
극동유화(주) 전당앞주유소,서울특별시 서초구 남부순환로 2391 (서초동)
현대오일뱅크(주)직영양재현대주유소,서울특별시 서초구 마방로 6 (양재동)
현대오일뱅크(주) 팔레스주유소,서울특별시 서초구 사평대로 136 (반포동)
